movie_id,avg_sentiment_score,num_reviews,normalized_sentiment
tt1486217,0.89147884,53,0.8701059
tt1489428,0.9345177,59,0.92234
tt1492966,0.8922276,58,0.87101465
tt14966898,0.8232464,53,0.78729576
tt14986406,0.9420512,51,0.931483
tt15047880,0.664083,53,0.59412736
tt1508238,0.861514,46,0.8337391
tt15097216,0.9501309,58,0.9412889
tt1513168,0.72366613,36,0.66644037
tt1517489,0.51897246,66,0.41801423
tt15181326,0.7802836,61,0.735154
tt1518542,0.9766133,57,0.9734292
tt1520211,0.8715549,63,0.8459253
tt15232564,0.58142704,57,0.4938121
tt15239678,0.8519581,100,0.82214165
tt1533395,0.8931974,23,0.87219167
tt1534360,0.92781997,55,0.9142113
tt15398776,0.8441469,140,0.81266165
tt15435876,0.94839185,54,0.93917835
tt15574124,0.58706945,65,0.50066
tt15677150,0.8823735,56,0.8590553
tt1570728,0.8686447,52,0.84239334
tt1572311,0.28668207,54,0.1360954
tt15940132,0.54018426,71,0.4437579
tt16026746,0.93573564,54,0.9238181
tt1606375,0.90988666,68,0.8924466
tt1628033,0.85326797,56,0.82373136
tt16288804,0.8011714,56,0.7605045
tt16311594,0.7901365,55,0.74711204
tt1637688,0.7958057,50,0.7539924
tt1638002,0.7987226,35,0.75753254
tt1641384,0.91135013,54,0.8942227
tt16431404,0.5979668,67,0.51388556
tt1649418,0.7704452,56,0.72321373
tt1666186,0.43843418,51,0.32026908
tt1675434,0.8959377,110,0.8755174
tt1710308,0.90528524,64,0.88686204
tt1714203,0.42032325,50,0.2982888
tt1716747,0.46467677,50,0.35211834
tt1733785,0.9535692,55,0.94546175
tt1740299,0.83948684,67,0.80700594
tt1745960,0.87699735,56,0.8525305
tt17490712,0.651576,54,0.57894826
tt1757678,0.861998,52,0.8343266
tt1795096,0.9687371,38,0.96387035
tt1806234,0.8645652,25,0.8374422
tt1831164,0.9057132,51,0.88738143
tt1832382,0.88923925,114,0.8673879
tt1839578,0.93568575,50,0.9237576
tt1843230,0.83355755,64,0.7998099
tt1844624,0.7704535,52,0.72322375
tt1853728,0.931693,136,0.9189118
tt1856010,0.794183,62,0.75202304
tt1865718,0.9366387,51,0.9249141
tt1870479,0.9232201,56,0.90862864
tt1877368,0.8439192,58,0.81238526
tt1877514,0.91900575,53,0.9035139
tt1883367,0.44447425,66,0.3275996
tt18923754,0.88735443,65,0.8651004
tt1895587,0.8439863,57,0.8124667
tt1910272,0.96957105,28,0.96488243
tt1928307,0.70621854,62,0.6452651
tt1942683,0.91487753,52,0.8985037
tt1950186,0.922272,54,0.90747803
tt19623240,0.2913142,51,0.1417172
tt19637052,0.79342586,51,0.7511041
tt1979320,0.89895785,51,0.8791828
tt1979376,0.7735994,65,0.7270417
tt1981115,0.8003221,45,0.75947374
tt2024544,0.912607,51,0.89574814
tt20258974,0.8338683,12,0.80018705
tt2049116,0.92679656,52,0.91296923
tt2063241,0.92133665,47,0.9063428
tt2085059,0.90841484,60,0.8906603
